train_condition,run_id,object_name,true_class_std,object_accuracy_percent,n_samples
mixed_trained_xyz,2,004_sugar_box,box,100.0,20
mixed_trained_xyz,2,005_tomato_soup_can,cylinder,95.0,20
mixed_trained_xyz,2,007_tuna_fish_can,cylinder,100.0,20
mixed_trained_xyz,2,008_pudding_box,box,95.0,20
mixed_trained_xyz,2,009_gelatin_box,box,100.0,20
mixed_trained_xyz,2,010_potted_meat_can,box,95.0,20
mixed_trained_xyz,2,012_strawberry,sphere,100.0,20
mixed_trained_xyz,2,014_lemon,sphere,100.0,20
mixed_trained_xyz,2,015_peach,sphere,100.0,20
mixed_trained_xyz,2,017_orange,sphere,100.0,20
mixed_trained_xyz,2,018_plum,sphere,100.0,20
mixed_trained_xyz,2,019_pitcher_base,cylinder,100.0,20
mixed_trained_xyz,2,025_mug,cylinder,95.0,20
mixed_trained_xyz,2,026_sponge,box,20.0,20
mixed_trained_xyz,2,036_wood_block,box,100.0,20
mixed_trained_xyz,2,040_large_marker,cylinder,55.00000000000001,20
mixed_trained_xyz,2,054_softball,sphere,100.0,20
mixed_trained_xyz,2,055_baseball,sphere,100.0,20
mixed_trained_xyz,2,056_tennis_ball,sphere,100.0,20
mixed_trained_xyz,2,057_racquetball,sphere,100.0,20
mixed_trained_xyz,2,058_golf_ball,sphere,100.0,20
mixed_trained_xyz,2,061_foam_brick,box,100.0,20
mixed_trained_xyz,2,063_a_marbles,sphere,0.0,20
mixed_trained_xyz,2,065_a_cups,cylinder,80.0,20
mixed_trained_xyz,2,077_rubiks_cube,box,100.0,20
mixed_trained_xyz,3,001_chips_can,cylinder,100.0,20
mixed_trained_xyz,3,002_master_chef_can,cylinder,100.0,20
mixed_trained_xyz,3,003_cracker_box,box,100.0,20
mixed_trained_xyz,3,004_sugar_box,box,100.0,20
mixed_trained_xyz,3,005_tomato_soup_can,cylinder,85.0,20
mixed_trained_xyz,3,007_tuna_fish_can,cylinder,100.0,20
mixed_trained_xyz,3,008_pudding_box,box,100.0,20
mixed_trained_xyz,3,009_gelatin_box,box,95.0,20
mixed_trained_xyz,3,010_potted_meat_can,box,85.0,20
mixed_trained_xyz,3,012_strawberry,sphere,100.0,20
mixed_trained_xyz,3,014_lemon,sphere,100.0,20
mixed_trained_xyz,3,015_peach,sphere,100.0,20
